Organization Name,Organization Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Operating Status,Full Description,Last Funding Type,Headquarters Location,Headquarters Regions,Description,Founded Date,Founded Date Precision,Industry Groups,Industries,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Top 5 Investors,IPO Status,Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Website,Diversity Spotlight (US Headquarters Only),Estimated Revenue Range,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Actively Hiring,Investment Stage,Investor Type,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Number of Alumni,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Acquisition Status,Number of Acquisitions,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (Company),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Number of Private Contacts,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration,SEMrush - Visit Duration Growth,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags
Axena Health,https://www.crunchbase.com/organization/axena-health,25000000,USD,25000000,Active,Axena Health is a women-led company dedicated to improving the lives of women with pelvic floor disorders by leveraging the power of digital technology.,Series A,"Newton, Massachusetts, United States","Greater Boston Area, East Coast, New England",Axena Health is company dedicated to improving the lives of women with pelvic floor disorders by leveraging the power of digital technology.,2023-01-01,year,Health Care,"Health Care, Hospital, Medical, Medical Device",2023-02-16,25000000,USD,25000000,25000000,USD,25000000,AXA Investment Managers,Private,,,,https://www.levatherapy.com,,,,,,,For Profit,,,https://www.linkedin.com/company/axena-health,,,1,,,,,,,,,,,,,,,,,,,,,,11-50,1,Early Stage Venture,25000000,USD,25000000,Series A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,235","2,228",,0.6,10,10,10,,,,"3,331",,,621,,2.19,,76.01%,,"3,716,106",,,,,,,,,,,,,,,
Dayforward,https://www.crunchbase.com/organization/dayforward,45008660,USD,45008660,Active,"Dayforward is a provider of a life insurance platform designed to bring financial security to families. Dayforward provides life insurance policies that protect clients' income until their children reach adulthood, allowing them to maintain their current lifestyle.",Series B,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Dayforward is a provider of a life insurance platform designed to bring financial security to families.,2019-01-01,year,"Community and Lifestyle, Financial Services","Family, Financial Services, InsurTech, Life Insurance",2023-01-23,25000000,USD,25000000,45008660,USD,45008660,"Tusk Venture Partners, AXA Venture Partners, Hudson Structured Capital Management, HSCM Ventures, Juxtapose",Private,,,,http://www.dayforward.com,,,,,,,For Profit,https://twitter.com/dayfwrd,https://www.facebook.com/dayfwrd,https://www.linkedin.com/company/dayfwrd,to:help@dayforward.com,1-888-434-0228,11,,,,,,,,,,,,,,,,,,,,2,"Aaron Shapiro, Mallika Khandelwal",11-50,2,Early Stage Venture,25000000,USD,25000000,Series B,1,6,Made Acquisitions,1,,,,,,,,,,,,,,,,,,,,,,,,"2,281","2,274",,-3.9,-3.3,9.5,10,"Engineering, Finance, Management, Marketing, Operations, Product",17,,"1,717",,91.63%,0,,1,0%,100%,0%,"5,308,892","-1,439,621",-21.33%,28,,,,0,0,,Insurance; financial affairs,,,,,
Bundle x Joy,https://www.crunchbase.com/organization/bundle-x-joy,1557500,USD,1557500,Active,"Bundle x Joy is a consumer goods company on a mission to deliver convenience, curation, and community to every pet person. They're female-founded, purpose-driven, and on a mission to deliver convenience, curation, and community to every pet person. They deliver a customized bundle of food, functional supplements, and superfood jerky bars to your doorstep every month for as little as $2 per day.",Seed,"Glendale, Arizona, United States","Greater Phoenix Area, Western US","Bundle x Joy is a consumer goods company on a mission to deliver convenience, curation, and community to every pet person.",2021-01-01,year,"Community and Lifestyle, Consumer Goods, Other","Consumer Goods, Pet, Subscription Service",2023-03-14,1000000,USD,1000000,1557500,USD,1557500,"Leap Venture Studio, R/GA Ventures, Companion Fund, Michelson Found Animals Foundation",Private,,,,https://bundlexjoy.com/,"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led",,,,,,For Profit,,,https://www.linkedin.com/company/bundlexjoy/,jessica@bundlexjoy.com,(833) 286-3538,2,,,,,,,,,,,,,,,,,,,,1,Jessica Berger,1-10,5,Seed,1000000,USD,1000000,Seed,1,4,,,,,,,,,,,,,,,,,,,,,,,,,2,"2,285","2,278",,8.7,9.6,9.5,9,Operations,1,,"3,510",,511.5%,61,,2.5,150%,50%,-50%,"3,613,082","-3,995,993",-52.52%,33,,,,0,0,,Agricultural products; live animals,,,,,
Rivet Work,https://www.crunchbase.com/organization/rivet-0146,8300000,USD,8300000,Active,"Rivet is an online platform that helps construction companies, trade schools, and labor unions schedule, forecast, acquire and dispatch skilled workers and equipment to jobs and jobsites. The company was founded in 2020 and is headquartered in Detroit, Michigan.",Seed,"Detroit, Michigan, United States","Greater Detroit Area, Great Lakes, Midwestern US","Rivet helps companies schedule, forecast, acquire and dispatch skilled workers and equipment to jobs and jobsites.",2020-01-31,day,"Education, Professional Services, Software","Productivity Tools, Recruiting, SaaS, Software, Training",2023-02-14,5600000,USD,5600000,7700000,USD,7700000,"Defy.vc, Michigan Rise, Augment Ventures, Detroit Venture Partners, IDEAL INDUSTRIES",Private,,,,https://rivet.work,,,,,,,For Profit,,,https://www.linkedin.com/company/rivet-work/,hello@rivet.work,313-242-7429,5,,,,,,,,,,,,,,,,,,,,4,"Alison Accavitti, Andy Lawrence, Louis Gelinas, Ryan Meitl",11-50,3,Seed,5600000,USD,5600000,Seed,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,"2,291","2,284",,-1.2,-0.1,9.6,17,"Engineering, Management, Marketing, Operations",10,,"3,147",,563.92%,"1,065",,1.5,49.98%,50%,-50%,"3,852,294","-4,118,798",-51.67%,55,,,,,,,,,,,,
Highway Benefits,https://www.crunchbase.com/organization/highway-benefits,6209993,USD,6209993,Active,"Highway Benefits is an employee benefits platform that increases the retention and attraction of top talent through modernized benefits. It allows employers to design a custom plan which gives them the ability to contribute to their employees' student loans, enabling companies to increase employee happiness, productivity, improve employee retention and reduce turnover costs. It was founded in 2020 and is based in Manhattan Beach, California.",Seed,"Manhattan Beach, California, United States","Greater Los Angeles Area, West Coast, Western US",Highway Benefits is an employee benefits platform that increases retention and attraction of top talent through modernized benefits.,2020-01-01,year,"Administrative Services, Health Care, Software","Employee Benefits, Human Resources, SaaS, Software",2023-03-02,3100000,USD,3100000,6209993,USD,6209993,"XYZ Venture Capital, Roger Ferguson",Private,,,,https://www.highwaybenefits.com,,,,,,,For Profit,,,https://www.linkedin.com/company/highway-benefits,,,2,,,,,,,,,,,,,,,,,,,,2,"Cory Micheel, Michael MacLaverty",1-10,3,Seed,3100000,USD,3100000,Seed,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,"2,301","2,294",,-0.9,9.5,9.6,12,"Management, Operations",3,,"1,603",,-13.96%,0,,1,-50%,100%,,"5,494,936","166,805",3.13%,22,,,,,,,,,,,,
Graft,https://www.crunchbase.com/organization/graft-13a7,18999998,USD,18999998,Active,"Graft is a cloud-native platform that uses AI techniques to unlock the value of text, images, video, audio, and graphs. There is no requirement for machine learning skills, no need to hire a team, and no infrastructure to build or maintain.",Venture - Series Unknown,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Graft develops a cloud-native platform that uses AI techniques to unlock the value of text, images, video, audio, and graphs.",2021-01-01,year,"Artificial Intelligence, Data and Analytics, Science and Engineering, Software","Artificial Intelligence, Machine Learning, Natural Language Processing",2023-03-14,14499998,USD,14499998,18999998,USD,18999998,"Google Ventures, New Enterprise Associates, SVA, Essence VC, Formula Ventures",Private,,,,http://www.graft.com,,,,,,,For Profit,https://twitter.com/GraftInc,,https://www.linkedin.com/company/graftinc/,,,2,,,,,,,,,,,,,,,,,,,,3,"Adam Oliner, Irina Calciu, Mick Hakobyan",11-50,2,,14499998,USD,14499998,Venture - Series Unknown,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,"2,303","2,296",,9,9,9.1,23,"Engineering, Management",5,,"5,947","2,921.83","3,712.18%",63,"47,700%",2,100%,25%,-75%,"2,611,629","-6,523,556",-71.41%,,,,,,,,,,,,,
Ambience Healthcare,https://www.crunchbase.com/organization/ambience-healthcare,36300000,USD,36300000,Active,"Ambience Healthcare’s mission is to supercharge healthcare providers with AI superpowers. Our flagship product, Ambience AutoScribe, is a fully automated AI medical scribe that captures the nuances of provider-patient conversation in real-time into a comprehensive note and seamlessly fits into EMR workflows. Adopted by provider organizations across North America, Ambience reduces time spent on documentation by 76% so that providers can focus on what matters most: caring for patients. Ambience AutoScribe is used by providers everyday, even in some of the most challenging medical specialties (e.g., psychiatry and complex geriatric primary care). For the first time in years, our providers are able to get home on time for dinner and don’t need to spend hours late at night catching up on their charts.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Ambience Healthcare’s mission is to supercharge healthcare providers with AI superpowers.,2020-01-01,year,Health Care,Health Care,2022-04-25,30000000,USD,30000000,36300000,USD,36300000,"OpenAI, Andreessen Horowitz, Human Capital, Kleiner Perkins, Anne Wojcicki",Private,,,,https://ambiencehealthcare.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/ambiencehealthcare/,,,1,,,,,,,,,,,,,,,,,,,,2,"Michael Ng, Nikhil Buduma",11-50,2,Early Stage Venture,30000000,USD,30000000,Series A,,16,,,,,,,,,,,,,,,,,,,,,,,,,,"2,311","2,303",,-0.2,8.7,8.9,10,,,,"3,342",,,0,,1,,100%,,"3,710,977",,,23,,,,,,,,,,,,
Faro Health,https://www.crunchbase.com/organization/faro-health,35000000,USD,35000000,Active,"Clinical protocols are scientific decisions wrapped in administrative burden. The Faro system handles the tedious work better left for a computer, freeing clinical researchers to focus on the important decisions that drive clinical value.",Series A,"La Jolla, California, United States","Greater San Diego Area, West Coast, Western US",Faro Health is a company that handles the tedious work better left for a computer.,2019-01-01,year,"Health Care, Software","Health Care, Software",2023-02-08,20000000,USD,20000000,35000000,USD,35000000,"General Catalyst, Northpond Ventures, Section 32, Zetta Venture Partners, Polaris Partners",Private,,,,https://www.farohealth.com/,,,,,,,For Profit,,,https://www.linkedin.com/company/farohealth/,,,2,,,,,,,,,,,,,,,,,,,,2,"Ross A. Jaffe, Scott Chetham",1-10,2,Early Stage Venture,20000000,USD,20000000,Series A,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,"2,329","2,321",,-0.1,0,9.6,30,"Engineering, Finance, Information Technology, Management, Pro Services",11,,"2,040",,11.29%,18,,1.07,6.76%,97.75%,-2.25%,"4,661,455","-712,189",-13.25%,27,,,,,,,,,,,,
Ontop,https://www.crunchbase.com/organization/top-e6ff,26000000,USD,26000000,Active,"Ontop allows companies to hire international workers, and we enable those workers to save in USD. Schedule a demo at https://www.getontop.com",Series A,"Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",A bank for remote workers connected to payroll.,2020-07-01,day,"Administrative Services, Financial Services, Information Technology, Professional Services, Software","FinTech, Human Resources, Management Information Systems, Recruiting, SaaS",2021-10-04,20000000,USD,20000000,26000000,USD,26000000,"Y Combinator, Tiger Global Management, Soma Capital, Magma Partners, MAGIC Fund",Private,,,,https://www.getontop.com,Hispanic / Latine Founded,,,,,,For Profit,https://twitter.com/ontop_hq,https://www.instagram.com/ontophq/,https://www.linkedin.com/company/ontopai/,help@getontop.com,,6,,,,,,,,,,,,,,,,,,,,3,"Jaime Abella, Julian Torres, Santiago Aparicio",251-500,5,Early Stage Venture,20000000,USD,20000000,Series A,5,17,,,,,,,,,,,,,,,,,,,,,,,,,,"2,356","2,348",,3.4,0.9,-0.9,10,"Legal, Operations",5,,"58,761","98,916",78.21%,618,428.21%,1.94,38.78%,63.75%,-23.54%,"593,605","-318,117",-34.89%,64,1,582,17,0,2,,Advertising; business,,,,,
Underdog Fantasy,https://www.crunchbase.com/organization/underdog-fantasy,45000000,USD,45000000,Active,"Underdog Fantasy is a developer of sports games designed around drafting football lineups.  The company's game offers a fantasy football application for drafting football lineups, providing users with a way of competing and earning rewards. Underdog Fantasy was established on March 1, 2020 by Brandon Stakenborg in Brooklyn, New York.",Series B,"Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",Underdog Fantasy is platform designed for drafting football lineups for fantasy leagues.,2020-03-01,day,"Gaming, Sports","Fantasy Sports, Gaming",2022-07-26,35000000,USD,35000000,45000000,USD,45000000,"BlackRock, MANTIS Venture Capital, SVA, LionTree, Nitesh Banta",Private,,,,https://underdogfantasy.com/,,,,,,,For Profit,https://www.twitter.com/UnderdogFantasy,https://www.facebook.com/UnderdogFantasy,https://www.linkedin.com/company/underdogfantasy/,support@underdogfantasy.com,19172672182,8,,,,,,,,,,,,,,,,,,,,3,"Brandon Stakenborg, Jeremy Levine, Trevor John",51-100,3,Early Stage Venture,35000000,USD,35000000,Series B,3,31,,,,,,,,,,,,,,,,,,,,,,,2022-05-10,,,"2,364","2,356",,0.1,1.5,2.9,8,"Engineering, Finance, Management, Marketing, Medical & Science, Operations, Pro Services, Product",33,,"848,828","810,168",-6.49%,"1,543",-19.93%,1.93,-24.69%,63.92%,-4.92%,"82,290","4,207",5.39%,45,,,,0,0,,Scientific and electric apparatus and instruments,,,,,
Finch,https://www.crunchbase.com/organization/trio-4ceb,3600000,USD,3600000,Active,"Finch empowers you to access the benefits of investing without having to significantly change the way you manage your money today. Finch lets you earn investment returns by automatically investing your balance into a portfolio of diversified exchange-traded funds (ETFs) designed to match your unique risk profile. This means your entire balance is always working for you, from day one, no matter what your balance is. Finch further pushes the envelope by enabling you instant access to your money when you need it (even the invested part!). The company was founded in 2019 and headquartered in Boston, Massachusetts.",Seed,"Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England","Finch is a seamless, all-in-one account that provides the benefits of investing with the flexibility of checking",2019-05-01,day,"Financial Services, Lending and Investments","Banking, FinTech, Personal Finance",2022-01-06,,,,3600000,USD,3600000,"Techstars, Mendoza Ventures, Barclays Corporate Banking, Frontier Venture Capital, CMFG Ventures Discovery Fund",Private,,,,http://www.finchmoney.com,,,,,,,For Profit,https://twitter.com/tryfinch,https://www.facebook.com/finchaccount,https://www.linkedin.com/company/finchapp,support@finchmoney.com,,64,,,,,,,,,,,,,,,,,,,,2,"Maya Nijhawan, Neel Ganu",1-10,3,Seed,,,,Seed,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,"2,390","2,382",,-1,7.8,8.2,5,"Marketing, Operations",2,,"1,129",,,0,,1,,100%,,"6,309,951",,,6,1,,,496,135,Positive Displacement Machines For Liquids,Machines and machine tools,,,,,
Databento,https://www.crunchbase.com/organization/databento,31800000,USD,31800000,Active,"Databento provides financial data on a metered, pay-as-you-go basis. We eliminate tens of thousands in upfront data expenses, while giving you the instant flexibility to pick up real-time full exchange feeds or terabytes of historical data when you need it. Whether you're a Fortune 500 bank or a single-person startup, we scale with your budget and needs to deliver the same cutting edge performance and data integrity.",Series A,"Salt Lake City, Utah, United States",Western US,Pay-as-you-go for financial data.,2019-01-01,year,"Data and Analytics, Design, Financial Services, Information Technology, Internet Services, Software","Cloud Data Services, Financial Services, FinTech, Information Services, Information Technology, Market Research, Software",2021-11-12,24250000,USD,24250000,31800000,USD,31800000,"Tribe Capital, MassChallenge, Good Growth Capital, Bossanova Investimentos, Redpoint",Private,,,,https://www.databento.com/,"East Asian Founded, East Asian Led, Southeast Asian Founded, Southeast Asian Led, Women Founded, Women Led",Less than $1M,,,,,For Profit,https://twitter.com/databentohq,,https://www.linkedin.com/company/databento/,,,1,,Yes,,,,,,,,,,,,,,,,,,1,Christina Qi,11-50,5,Early Stage Venture,24250000,USD,24250000,Series A,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,"2,433","2,425",,-0.6,-0.6,5.7,10,"Engineering, Finance, Management",3,,"14,527","10,018.5",-33.09%,53,-97.01%,1.5,2.13%,65.73%,-14.29%,"1,545,105","283,060",22.43%,59,,,,0,1,,Advertising; business,,,,,
TipLink,https://www.crunchbase.com/organization/tiplink,6000000,USD,6000000,Active,"TipLink helps send crypto with a link. Someone with crypto can create a account and send that link to anyone over any platform. It’s like buying a gift card, connect the client's crypto wallet of choice and create a account by depositing how much they want to send.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",TipLink is a lightweight wallet that helps send digital assets by sending an URL.,2022-01-01,year,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Payments",2023-02-21,6000000,USD,6000000,6000000,USD,6000000,"Circle, Sequoia Capital, Paxos, Big Brain Holdings, Asymmetric",Private,,,,https://tiplink.io,,,,,,,For Profit,https://twitter.com/TipLinkOfficial,,https://www.linkedin.com/company/tiplink,,,1,,,,,,,,,,,,,,,,,,,,2,"Aashiq Dheeraj, Ian Krotinsky",1-10,1,Seed,6000000,USD,6000000,Seed,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,"2,455","2,447",,-0.5,9.9,10,10,Operations,1,,"7,132","33,909.83",108.6%,188,,1.69,69.07%,49.36%,-50.64%,"2,344,392","-1,419,272",-37.71%,,,,,,,,,,,,,
CyberConnect,https://www.crunchbase.com/organization/cyberconnect,25000000,USD,25000000,Active,CyberConnect is a decentralized social graph protocol with identity sovereignty for mass adoption and network effects.,Series A,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",CyberConnect is a decentralized social graph protocol with identity sovereignty for mass adoption and network effects.,2021-01-01,year,Information Technology,Information Technology,2022-05-17,15000000,USD,15000000,25000000,USD,25000000,"Protocol Labs, Animoca Brands, StreamingFast, Tribe Capital, Amber Group",Private,,,,https://cyberconnect.me/,,,,,,,,https://twitter.com/CyberConnectHQ,,https://www.linkedin.com/company/cyberconnecthq/,,,5,,,,,5,5,,,,,,,,,,,,,,1,Yihe Li,11-50,2,Early Stage Venture,15000000,USD,15000000,Series A,3,21,,,,,,,,,,,,,,,,,,,,,,,,,,"2,470","2,462",,-0.4,3.2,7.4,11,,,,"195,957","51,046.83",533.53%,673,-58.71%,1.85,25.1%,63.59%,-14.43%,"247,866","-706,302",-74.02%,26,,,,,,,,,,,,
Plai Labs,https://www.crunchbase.com/organization/plai-labs,32000000,USD,32000000,Active,"PLAI Labs is building the next generation of social platforms. The company is applying its proven track record In Social Media, Game Mechanics, and advanced technology to build products that are used by 100’s of millions of people around the world.",Seed,"Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US","PLAI Labs uses its expertise in social media, game mechanics, and advanced technology to develop social platforms.",2023-01-19,day,"Internet Services, Media and Entertainment, Other, Software","Blockchain, Internet, Social Media, Social Network, Web Development",2023-01-19,32000000,USD,32000000,32000000,USD,32000000,a16z crypto,Private,,,,http://www.plailabs.com,,,,,,,For Profit,https://twitter.com/PlaiLabs,,https://www.linkedin.com/company/plai-labs/,info@PlaiLabs.com,,3,,,,,,,,,,,,,,,,,,,,5,"Aber Whitcomb, Chris DeWolfe, Jairo Nieto, Jim Benedetto, Josh Brooks",51-100,1,Seed,32000000,USD,32000000,Seed,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"2,479","2,471",,-2.7,-2.7,10,10,Management,1,,"2,452",,-65.43%,0,,1,-15.76%,100%,23.02%,"4,346,035","1,929,304",79.83%,,,,,,,,,,,,,
Courier,https://www.crunchbase.com/organization/try-courier,47500000,USD,47500000,Active,"Courier offers an API that lets developers intelligently route user notifications across their existing channels – like SendGrid, Twilio, Slack, and Facebook Messenger – using factors like ""is the user online?"" and ""which channel has produced the most engagement for this user previously?""",Series B,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US","Courier is a notification-creation program for app developers that offers push notifications, emails, chat, slack, and custom channels.",2019-04-01,day,"Information Technology, Internet Services, Messaging and Telecommunications, Software","Developer APIs, Internet, Messaging, Software",2022-06-22,35000000,USD,35000000,47400000,USD,47400000,"Twilio, Right Side Capital Management, Google Ventures, Y Combinator, Lachy Groom",Private,,,,https://www.courier.com,,$50M to $100M,,,,,For Profit,https://twitter.com/trycourier,https://www.facebook.com/trycourier,https://www.linkedin.com/company/trycourier,hello@courier.com,+1-415-993-7363,16,,Yes,,,,,,,,,,,,,,,,,,1,Troy Goode,11-50,5,Early Stage Venture,35000000,USD,35000000,Series B,5,18,,,,,,,,,,,,,,,,,,,,,,,,,,"2,499","2,491",,-0.8,-0.7,7,5,"Engineering, Finance, Management, Marketing, Operations, Product, Sales",15,,"180,586","164,183",8.92%,322,-12.5%,1.12,-10.82%,91.71%,5.97%,"263,235","-21,542",-7.56%,28,,,19,,,,,,,,,
Fable,https://www.crunchbase.com/organization/fable,36047571,USD,36047571,Active,"Fable delivers a social experience with stories in the service of mental wellness.  The company was founded in 2019 by Padmasree Warrior in Palo Alto, California.",Series A,"Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",Fable provides a platform for online book clubs.,2019-09-01,day,"Commerce and Shopping, Health Care, Mobile","E-Commerce, Health Care, mHealth, Personal Health, Wellness",2021-12-16,20000000,USD,20000000,36047571,USD,36047571,"Gaingels, Breyer Capital, Tiger Global Management, Defy.vc, M13",Private,,,,https://fable.co,"Women Founded, Women Led",,,,,,For Profit,https://twitter.com/getfable,https://www.facebook.com/getfable,https://linkedin.com/company/fablegroup,contact@fable.co,6502095705,13,,,,,,,,,,,,,,,,,,,,2,"Jason Shellen, Padmasree Warrior",11-50,3,Early Stage Venture,20000000,USD,20000000,Series A,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,"2,514","2,506",,2.5,1.8,2.9,9,"Engineering, Management, Operations, Product",21,,"87,684","87,484.17",-66.15%,34,-49.25%,1.5,27.77%,52.83%,-36.61%,"446,217","242,609",119.15%,50,1,"39,410",,,,,,,,,,
Immi,https://www.crunchbase.com/organization/immi-39c9,13800000,USD,13800000,Active,"Immi is a food product manufacturer intended to provide instant ramen with low net carb and high protein. The company's products include high fiber, low sodium, plant-based, and keto-friendly instant ramen, providing healthy quick meal to consumers.",Series A,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",Immi is a food and beverage company that manufactures low net carb and high protein instant ramen.,2019-01-01,year,"Food and Beverage, Health Care, Manufacturing","Food and Beverage, Manufacturing, Nutrition",2023-03-02,10000000,USD,10000000,13800000,USD,13800000,"FLY BY JING, Rumble, OWYN (Only What You Need), Bokksu, Hero Cosmetics",Private,,,,https://immieats.com,,$1M to $10M,,,,,For Profit,https://twitter.com/immieats,https://www.facebook.com/immieats,https://www.linkedin.com/company/immieats,fam@immieats.com,+1 707 641 4763,,,,,,,,,,,,,,,,,,,,,2,"Kevin Chanthasiriphan, Kevin Lee",1-10,3,Early Stage Venture,10000000,USD,10000000,Series A,3,34,,,,,,,,,,,,,,,,,,,,,,,,,,"2,516","2,508",,-0.5,9.2,9.3,10,Management,2,,"162,887","168,450.83",1.5%,245,42.44%,1.91,24.67%,56.86%,-25.93%,"284,133","-7,799",-2.67%,52,,,,0,1,,Basic staples,,,,,
Raven,https://www.crunchbase.com/organization/raven-sr,21779453,USD,21779453,Active,"Raven is a producer of green hydrogen and synthetic fuels using organic waste. They transform waste destined for landfills into environmentally friendly, efficient, and profitable clean hydrogen and Fischer-Tropsch synthetic fuels with our patented Steam/CO2 Reformer technology. Raven was in 2018 and is based in Pinedale, Wyoming.",Corporate Round,"Pinedale, Wyoming, United States",Western US,Raven is a producer of green hydrogen and synthetic fuels using organic waste.,2018-01-01,year,"Manufacturing, Natural Resources, Sustainability","Manufacturing, Mineral, Waste Management, Water",2023-02-28,,,,20000000,USD,20000000,"Hyzon Motors, Chevron, Samsung Ventures, ITOCHU Corporation, Stellar J Corp",Private,,,,https://ravensr.com,,,,,,,For Profit,https://mobile.twitter.com/ravenfuel,https://www.facebook.com/ravensrenergy/,https://www.linkedin.com/company/ravenfuel/,info@ravensr.com,+1 307-367-2866,,,,,,,,,,,,,,,,,,,,,1,Matt W. Murdock,11-50,4,,,,,Corporate Round,2,6,Made Acquisitions,1,,,,,,,,,,,,,,,,,,,,,,,,"2,522","2,514",,6.3,9.4,8,8,Management,1,,"3,848","2,573.5",88.17%,535,181.58%,3.66,82.82%,0%,0%,"3,393,240","-1,710,619",-33.52%,40,,,,13,1,"Petroleum, Gas Or Coke Industries; Technical Gases Containing Carbon Monoxide; Fuels; Lubricants; Peat",Building; repairs,,,,,
Elaborate,https://www.crunchbase.com/organization/elaborate,12525000,USD,12525000,Active,"Elaborate is combating physician burnout by delivering doctor-approved, patient-friendly lab results. Elaborate reduces patient panic and give patients actionable insights about their health so they can take charge of their care, and reduce admin so doctors can focus on what they love most: caring for patients face-to-face. The platform interfaces with doctors' electronic medical records and uses a unique clinical insights engine to evaluate patient data, allowing clinicians to provide a customized, easy-to-understand report summarizing patients' test findings. Elaborate was established in April, 2021 in New York, United States by Nicole Bocskocsky.",Seed,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",Elaborate is a developer of a lab results application that serves as a bridge between doctors and patients.,2021-04-01,month,Health Care,"Health Care, Health Diagnostics, Medical",2023-01-26,10000000,USD,10000000,12525000,USD,12525000,"Bling Capital, Scott Belsky, Tusk Venture Partners, Founder Collective, Arkitekt Ventures",Private,,,,https://www.elaborate.com,,,,,,,For Profit,https://twitter.com/weareelaborate,https://www.facebook.com/weareelaborate,https://www.linkedin.com/company/weareelaborate/,info@elaborate.com,,4,,,,,,,,,,,,,,,,,,,,1,Nicole Bocskocsky,11-50,2,Seed,10000000,USD,10000000,Seed,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,"2,557","2,549",,-1.7,-2.1,9.5,10,"Management, Sales",2,,"58,161",,"1,104.41%","1,680","3,997.56%",5.55,344.7%,36.29%,-51.68%,"597,876","-2,458,659",-80.44%,4,2,51,,,,,,,,,,
